ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
453814,-70.38987529,43.07707013,154,0.56
453814,-70.35853885,42.92385291,170.05,0.63
453814,-70.36582164,42.90803712,163.48,0.6
453814,-70.38153257,42.94229262,171.51,0.61
453814,-70.37195613,42.99699219,147.17,0.51
453814,-70.36522823,42.94236059,160.5,0.55
453814,-70.23469452,42.86467949,163.57,0.55
453814,-70.12833118,42.56926591,50.72,0.15
453816,-68.03906953,42.60797572,134.46,0.33
453816,-68.00233376,42.6558565,129.76,0.3
453816,-67.95233378,42.70144175,126.69,0.28
453816,-67.97226926,42.7793588,55.14,0.12
453816,-68.04215827,42.92268539,51.98,0.11
453816,-68.00835603,43.0058768,105.77,0.21
453816,-67.96777243,43.08778529,89.4,0.17
453816,-67.91478494,43.10952846,76.15,0.14
453816,-67.80135092,43.21415849,6.07,0.01
453816,-67.58497104,43.20166869,19.76,0.04
453816,-67.60924334,43.12389042,39.58,0.08
453816,-67.69695948,43.08212426,48.05,0.09
453816,-67.76034703,43.16917596,45.96,0.09
453816,-67.75191325,43.21349418,39.66,0.08
453816,-67.77944255,43.1860355,32.96,0.06
453816,-67.7597379,43.19398838,22.4,0.04
453817,-70.171666,43.44230513,63.05,0.21
453817,-70.27830351,43.30668178,42.42,0.13
453817,-70.45151713,43.22889964,24.75,0.08
453817,-70.54402561,43.03672753,50.04,0.14
453817,-70.62175497,42.95887053,43.72,0.12
453818,-68.84608279,43.46109545,34.36,0.14
453818,-68.90881046,43.43387023,64.51,0.27
453818,-69.01087207,43.49302035,60.03,0.27
453818,-69.13909469,43.52302594,99.22,0.45
453818,-69.30350281,43.57822202,74.82,0.36
453818,-69.41713876,43.57382328,68.08,0.33
47472,-68.70640297,43.5132678,125.06,0.4
47472,-68.70880594,43.51364033,123.67,0.39
47472,-68.64842353,43.47819104,117.89,0.37
47472,-68.61974361,43.39858943,96.26,0.29
47472,-68.68416747,43.30353651,59.07,0.17
47472,-68.74113899,43.23509943,11.62,0.03
47472,-68.79475182,43.18722754,12.72,0.03
47472,-68.87370995,43.16330004,33.94,0.09
47472,-68.82188963,43.15006946,51.16,0.13
47472,-68.77862735,43.16961089,52.4,0.13
47472,-68.90903866,43.08461989,51.33,0.13
47472,-68.96675766,43.10746247,58.75,0.16
47472,-68.99075107,43.08268679,61.2,0.17
47472,-69.03680276,43.16129719,56.96,0.16
