ids,lon,lat,roms_separation(km/day),roms_separation(km/km)
453814,-70.38987529,43.07707013,87.48,0.32
453814,-70.35853885,42.92385291,103.77,0.38
453814,-70.36582164,42.90803712,112.91,0.41
453814,-70.38153257,42.94229262,136.68,0.49
453814,-70.37195613,42.99699219,144.41,0.5
453814,-70.36522823,42.94236059,140.58,0.48
453814,-70.23469452,42.86467949,154.64,0.52
453816,-68.03906953,42.60797572,32.64,0.08
453816,-68.00233376,42.6558565,35.49,0.08
453816,-67.95233378,42.70144175,43.75,0.1
453816,-67.97226926,42.7793588,13.12,0.03
453816,-68.04215827,42.92268539,42.71,0.09
453816,-68.00835603,43.0058768,53.51,0.11
453816,-67.96777243,43.08778529,86.14,0.17
453816,-67.91478494,43.10952846,100.47,0.19
453816,-67.80135092,43.21415849,112.17,0.21
453816,-67.58497104,43.20166869,116.37,0.23
453816,-67.60924334,43.12389042,130.51,0.26
453816,-67.69695948,43.08212426,122.27,0.24
453816,-67.76034703,43.16917596,129.76,0.25
453816,-67.75191325,43.21349418,146.47,0.29
453816,-67.77944255,43.1860355,154.77,0.31
453816,-67.7597379,43.19398838,163.9,0.32
453817,-70.171666,43.44230513,22.89,0.08
453817,-70.24564105,43.31430287,22.63,0.07
453817,-70.27830351,43.30668178,39.84,0.12
453817,-70.45151713,43.22889964,56.61,0.17
453817,-70.50583532,43.19889517,63.99,0.19
453817,-70.52599649,43.13464636,76.46,0.22
453817,-70.54402561,43.03672753,64.83,0.19
453817,-70.62175497,42.95887053,57.36,0.16
453818,-68.84608279,43.46109545,30.98,0.13
453818,-68.90881046,43.43387023,28.12,0.12
453818,-69.01087207,43.49302035,30.99,0.14
453818,-69.13909469,43.52302594,30.36,0.14
453818,-69.30350281,43.57822202,39.16,0.19
453818,-69.41713876,43.57382328,46.76,0.23
453818,-69.48508944,43.59413098,43.51,0.21
47472,-68.70640297,43.5132678,51.78,0.17
47472,-68.70880594,43.51364033,37.13,0.12
47472,-68.64842353,43.47819104,60.07,0.19
47472,-68.61974361,43.39858943,65.13,0.2
47472,-68.68416747,43.30353651,71.8,0.21
47472,-68.74113899,43.23509943,63.8,0.18
47472,-68.79475182,43.18722754,81.73,0.22
47472,-68.87370995,43.16330004,79.95,0.21
47472,-68.82188963,43.15006946,91.6,0.24
47472,-68.77862735,43.16961089,81.27,0.21
47472,-68.90903866,43.08461989,59.13,0.15
47472,-68.96675766,43.10746247,57.16,0.15
47472,-68.99075107,43.08268679,45.88,0.13
47472,-69.03680276,43.16129719,34,0.09
47472,-69.04013717,43.20314523,22.26,0.06
47472,-69.13812349,43.23717218,28.81,0.08
65204,-66.37354985,42.57320792,19.19,0.03
65204,-66.55491013,42.68081342,56.35,0.08
65204,-66.40708289,42.70323794,20.46,0.03
65204,-66.489616,42.78925572,27.94,0.04
65204,-66.22819664,42.74330533,64.18,0.1
65204,-66.03092745,42.76164188,69.53,0.11
65204,-65.85168457,42.76629563,62.94,0.11
65204,-65.8592795,42.78918424,64.07,0.12
65204,-65.96754137,42.95191218,57.04,0.11
65204,-66.1798003,43.01765956,106.27,0.21
65204,-66.29918608,43.14780274,107.42,0.24
65204,-66.21654577,43.04981733,95.77,0.22
65204,-66.08999474,43.13425353,84.86,0.2
65204,-65.78217564,43.12176346,83.71,0.22
65204,-65.71694714,43.12383738,88.44,0.24
65204,-65.54425273,43.16474088,101.04,0.28
65204,-65.34061626,43.16697687,104.35,0.3
65206,-65.76443592,42.53389818,189.73,0.34
65206,-65.60870259,42.5411882,126.89,0.24
65295,-65.79035382,42.51951592,72.13,0.17
65295,-65.6552471,42.69308214,94.66,0.23
65295,-65.62217611,42.71472844,106.65,0.27
65295,-65.56262818,42.73338692,117.75,0.3
66203,-67.97306897,42.95357572,41.61,0.08
66203,-67.94481144,43.03557542,49.58,0.1
66203,-67.74117454,43.06873695,65.57,0.13
66203,-67.86923035,42.9977809,81.78,0.16
66207,-67.02360642,42.87072987,40.83,0.09
66381,-68.98835818,43.84551169,22.64,0.08
66381,-69.04605647,43.78793168,27.15,0.09
66381,-69.11980938,43.81499885,33.71,0.11
66381,-69.36182186,43.81739244,38.26,0.13
66381,-69.55262669,43.68562458,46.15,0.15
66381,-69.64741038,43.51419361,42.75,0.15
66381,-69.67903163,43.42985422,39.31,0.13
66381,-69.70406644,43.38463761,34.34,0.12
66381,-69.67162898,43.29186951,25.76,0.09
66381,-69.75094566,43.32266394,32.77,0.11
66381,-69.8395886,43.25795983,16.97,0.06
66381,-69.70170734,43.2651565,8.33,0.03
66381,-69.59028382,43.37496457,2.65,0.01
66381,-69.47334917,43.47823635,31.03,0.09
66381,-69.58966073,43.54615396,29.8,0.09
66381,-69.71408928,43.50737932,48.22,0.14
66381,-69.7139377,43.48368727,54,0.15
66381,-69.64294864,43.49298056,69.28,0.19
66381,-69.81156772,43.52327039,76.94,0.21
66381,-69.75548916,43.63032856,83.54,0.23
66381,-69.66564465,43.56164274,86.83,0.23
66381,-69.68052777,43.52743843,97.01,0.26
66381,-69.66202955,43.53483596,90.83,0.24
66381,-69.52546704,43.54247509,92.67,0.24
66381,-69.35859997,43.46250002,76.05,0.2
