ids,lon,lat,roms_separation(km/day),roms_separation(km/km)
45389,-68.38595619,43.46749609,54.26,0.2
45389,-68.386,43.342,63.25,0.23
45389,-68.377,43.333,87.51,0.29
45389,-68.3542,43.321,103,0.32
45389,-68.351,43.3282,111.49,0.34
45389,-68.30549999,43.35329999,111.81,0.34
45389,-68.30680001,43.3333,107.42,0.32
45389,-68.28929999,43.37119999,97,0.28
45389,-68.26420001,43.3732,97.33,0.28
45389,-68.28650001,43.40070002,80.94,0.24
45389,-68.2272,43.4283,62.69,0.17
45389,-68.2372,43.40920002,111.42,0.3
45389,-68.20279998,43.42320001,77.1,0.2
45389,-68.1402,43.3525,44.2,0.11
45389,-68.1023,43.2917,49.68,0.12
45389,-68.04229999,43.28050002,60.75,0.14
45389,-67.90569998,43.40030003,89.17,0.2
45389,-67.60629991,43.59,120.5,0.25
45389,-67.31280002,43.47999996,67.42,0.13
45389,-67.29399996,43.494,73.19,0.14
45389,-67.24629998,43.51620002,70.92,0.12
45389,-67.25779996,43.58029998,87.75,0.15
45389,-67.2627,43.44020003,86.62,0.15
45389,-67.26666851,43.50150555,84.63,0.14
45389,-67.34080006,43.57480003,54.68,0.09
45389,-67.18869998,43.6755,70.74,0.12
45389,-67.0734999,43.75820004,94.03,0.16
45389,-66.92049998,43.78880016,128.7,0.22
45389,-66.86400001,43.81500007,127.05,0.23
45389,-66.74049999,43.7463001,208.25,0.37
45389,-66.69629998,43.8540001,241.35,0.44
45389,-66.66450003,44.06230006,266.53,0.51
45389,-66.71130002,44.34019995,106.56,0.22
45389,-66.86770029,44.37919996,52.29,0.12
45389,-66.9748001,44.4862999,8.56,0.02
45389,-67.04220017,44.49029982,7.95,0.02
45389,-67.2295001,44.44899992,19.58,0.05
45389,-67.40620006,44.44529999,37.44,0.11
45389,-67.67620004,44.39320002,91.1,0.27
45389,-67.84630006,44.25570003,4.04,0.01
45389,-68.08380007,44.12219997,43.42,0.14
45389,-68.37120003,43.98700002,45.52,0.15
45389,-68.48319999,43.96530006,49.32,0.16
45389,-68.56379992,43.95970007,21.99,0.07
45389,-68.56580001,43.79119992,27.85,0.09
66463,-66.60680335,44.84876851,272.55,0.54
66463,-66.57673043,44.670419,282.82,0.58
66463,-66.45753015,44.52688647,311.13,0.71
66463,-66.56978419,44.45304414,328.34,0.85
66463,-66.70792203,44.23070234,343.44,1
66463,-67.11462946,44.24323883,198.21,0.63
66464,-66.53798119,44.82148975,299.84,0.58
66464,-66.59130861,44.68893107,313.17,0.63
66464,-66.49532142,44.50636297,333.85,0.73
66464,-66.6245476,44.32610589,330.41,0.81
66464,-66.70349999,44.24409999,323.37,0.86
66464,-67.05412397,44.23809901,184.58,0.51
66464,-67.49072265,44.30958259,109.11,0.33
66464,-67.89800003,44.10059998,86.25,0.28
66464,-68.1700196,44.01192746,68.48,0.23
66464,-68.3220347,43.92260815,67.54,0.23
66464,-68.47120001,43.83449999,81.49,0.28
66464,-68.59881044,43.71642559,73.11,0.25
66464,-68.72310001,43.57169999,73.31,0.26
66464,-68.81860002,43.32509998,81.51,0.3
66464,-68.99100003,43.21750001,48.65,0.18
66464,-69.20260004,43.27080002,11.1,0.04
66464,-69.28933423,43.33422035,7.75,0.03
66464,-69.3002,43.3659,23.98,0.08
66464,-69.17007576,43.41589608,37.77,0.12
66464,-68.98910482,43.4381404,34.67,0.1
66464,-68.77889089,43.37720244,19.58,0.06
66464,-68.76780172,43.32272089,35.13,0.11
66464,-68.82930665,43.32506454,18.06,0.05
66464,-68.83631797,43.3106791,26.42,0.07
66464,-68.89326541,43.25578498,38.03,0.1
66464,-68.98388973,43.2147381,37.14,0.09
66464,-69.02069149,43.24861532,41.03,0.1
66464,-69.04051872,43.31527916,24.32,0.06
66464,-68.98269949,43.35966887,18.74,0.05
66464,-68.78972407,43.36634226,13.97,0.03
66464,-68.77458547,43.19685448,23.36,0.06
66464,-68.89481963,43.17421936,24.51,0.06
66464,-68.87601466,43.07358021,52.79,0.13
66464,-68.98968547,43.03138969,70.33,0.17
66464,-68.96662384,43.09487088,71.39,0.17
66464,-68.9193702,43.10174038,71.18,0.17
66464,-68.8686583,43.07381058,84.83,0.19
66464,-68.95948264,43.03693917,105.27,0.24
66464,-69.09415903,43.00582497,139.14,0.3
66465,-66.4563845,44.76635297,27.65,0.03
66465,-66.49345257,44.69268114,15.47,0.02
66465,-66.49875888,44.60399217,14.19,0.02
66465,-66.3463753,44.50832313,16.52,0.02
66465,-66.33416739,44.45516176,27.5,0.03
66465,-66.4053735,44.47154076,49.78,0.06
66465,-66.43730494,44.37394189,60.81,0.07
66465,-66.31996194,44.53517171,74.55,0.09
66465,-66.08406862,44.55760177,73.6,0.09
66465,-65.96119987,44.69037176,65.17,0.09
66467,-66.31226393,44.68682933,16.52,0.02
66467,-66.44039915,44.71137521,37.41,0.06
66467,-66.48686213,44.62041184,50.47,0.08
66467,-66.39893211,44.60134551,57.46,0.09
66467,-66.30600669,44.70610238,53,0.08
66467,-66.23588515,44.78041202,43.41,0.07
66467,-66.19840384,44.87513975,22.2,0.04
66467,-66.24980232,44.89399332,12.76,0.02
66467,-66.38158658,44.91091821,39.19,0.07
66467,-66.56134382,44.79695546,49.24,0.08
66467,-66.49095566,44.66880858,47.31,0.08
66467,-66.41553433,44.61315717,50.37,0.09
66467,-66.23898211,44.69178765,56.05,0.1
